bin_start,bin_end,frequency
-9850000000000,-9840000000000,1
-8160000000000,-8150000000000,1
-5900000000000,-5890000000000,1
-5210000000000,-5200000000000,1
-4500000000000,-4490000000000,1
-3370000000000,-3360000000000,1
-3070000000000,-3060000000000,1
-2980000000000,-2970000000000,1
-2810000000000,-2800000000000,1
-2760000000000,-2750000000000,1
-2360000000000,-2350000000000,1
-2220000000000,-2210000000000,1
-1640000000000,-1630000000000,1
-1470000000000,-1460000000000,1
-1420000000000,-1410000000000,1
-1370000000000,-1360000000000,2
-1250000000000,-1240000000000,1
-1040000000000,-1030000000000,1
-870000000000,-860000000000,1
-760000000000,-750000000000,1
-740000000000,-730000000000,1
-700000000000,-690000000000,1
-690000000000,-680000000000,1
-660000000000,-650000000000,1
-640000000000,-630000000000,1
-590000000000,-580000000000,2
-560000000000,-550000000000,1
-520000000000,-510000000000,2
-510000000000,-500000000000,1
-490000000000,-480000000000,1
-470000000000,-460000000000,3
-440000000000,-430000000000,1
-410000000000,-400000000000,1
-400000000000,-390000000000,2
-390000000000,-380000000000,1
-370000000000,-360000000000,2
-360000000000,-350000000000,1
-340000000000,-330000000000,2
-330000000000,-320000000000,2
-320000000000,-310000000000,1
-310000000000,-300000000000,1
-300000000000,-290000000000,3
-290000000000,-280000000000,1
-280000000000,-270000000000,2
-270000000000,-260000000000,1
-260000000000,-250000000000,2
-250000000000,-240000000000,1
-230000000000,-220000000000,1
-220000000000,-210000000000,4
-210000000000,-200000000000,2
-200000000000,-190000000000,3
-190000000000,-180000000000,4
-180000000000,-170000000000,2
-170000000000,-160000000000,3
-160000000000,-150000000000,3
-150000000000,-140000000000,4
-140000000000,-130000000000,2
-130000000000,-120000000000,3
-120000000000,-110000000000,8
-110000000000,-100000000000,4
-100000000000,-90000000000,7
-90000000000,-80000000000,2
-80000000000,-70000000000,10
-70000000000,-60000000000,6
-60000000000,-50000000000,7
-50000000000,-40000000000,8
-40000000000,-30000000000,18
-30000000000,-20000000000,28
-20000000000,-10000000000,60
-10000000000,0,318
0,10000000000,1877
10000000000,20000000000,574
20000000000,30000000000,297
30000000000,40000000000,224
40000000000,50000000000,124
50000000000,60000000000,110
60000000000,70000000000,78
70000000000,80000000000,55
80000000000,90000000000,47
90000000000,100000000000,39
100000000000,110000000000,26
110000000000,120000000000,28
120000000000,130000000000,25
130000000000,140000000000,15
140000000000,150000000000,25
150000000000,160000000000,18
160000000000,170000000000,16
170000000000,180000000000,17
180000000000,190000000000,10
190000000000,200000000000,15
200000000000,210000000000,12
210000000000,220000000000,12
220000000000,230000000000,13
230000000000,240000000000,10
240000000000,250000000000,7
250000000000,260000000000,12
260000000000,270000000000,8
270000000000,280000000000,8
280000000000,290000000000,11
290000000000,300000000000,12
300000000000,310000000000,10
310000000000,320000000000,8
320000000000,330000000000,6
330000000000,340000000000,4
340000000000,350000000000,4
350000000000,360000000000,4
360000000000,370000000000,4
370000000000,380000000000,5
380000000000,390000000000,5
390000000000,400000000000,6
400000000000,410000000000,5
410000000000,420000000000,4
420000000000,430000000000,5
430000000000,440000000000,7
440000000000,450000000000,8
450000000000,460000000000,5
460000000000,470000000000,6
470000000000,480000000000,3
480000000000,490000000000,5
490000000000,500000000000,2
500000000000,510000000000,5
520000000000,530000000000,1
530000000000,540000000000,2
540000000000,550000000000,4
550000000000,560000000000,2
580000000000,590000000000,3
590000000000,600000000000,2
600000000000,610000000000,5
610000000000,620000000000,2
620000000000,630000000000,1
630000000000,640000000000,1
640000000000,650000000000,1
660000000000,670000000000,2
670000000000,680000000000,3
680000000000,690000000000,1
700000000000,710000000000,1
710000000000,720000000000,3
720000000000,730000000000,2
740000000000,750000000000,2
750000000000,760000000000,1
760000000000,770000000000,1
770000000000,780000000000,1
780000000000,790000000000,3
790000000000,800000000000,3
800000000000,810000000000,3
810000000000,820000000000,1
820000000000,830000000000,2
840000000000,850000000000,1
850000000000,860000000000,1
860000000000,870000000000,2
880000000000,890000000000,1
890000000000,900000000000,1
900000000000,910000000000,1
910000000000,920000000000,1
930000000000,940000000000,1
950000000000,960000000000,1
960000000000,970000000000,4
970000000000,980000000000,2
980000000000,990000000000,1
990000000000,1000000000000,1
1000000000000,1010000000000,1
1010000000000,1020000000000,4
1020000000000,1030000000000,1
1040000000000,1050000000000,1
1050000000000,1060000000000,1
1070000000000,1080000000000,3
1100000000000,1110000000000,3
1110000000000,1120000000000,1
1120000000000,1130000000000,2
1140000000000,1150000000000,1
1150000000000,1160000000000,4
1160000000000,1170000000000,1
1170000000000,1180000000000,1
1210000000000,1220000000000,2
1220000000000,1230000000000,1
1230000000000,1240000000000,4
1240000000000,1250000000000,3
1310000000000,1320000000000,1
1320000000000,1330000000000,1
1330000000000,1340000000000,3
1340000000000,1350000000000,2
1360000000000,1370000000000,1
1370000000000,1380000000000,1
1430000000000,1440000000000,1
1460000000000,1470000000000,2
1480000000000,1490000000000,2
1500000000000,1510000000000,1
1540000000000,1550000000000,2
1670000000000,1680000000000,1
1680000000000,1690000000000,1
1700000000000,1710000000000,1
1730000000000,1740000000000,1
1830000000000,1840000000000,1
1880000000000,1890000000000,1
1930000000000,1940000000000,1
1980000000000,1990000000000,1
2030000000000,2040000000000,1
2120000000000,2130000000000,1
2160000000000,2170000000000,1
2260000000000,2270000000000,1
2370000000000,2380000000000,1
2600000000000,2610000000000,1
2610000000000,2620000000000,1
2720000000000,2730000000000,2
2950000000000,2960000000000,1
3000000000000,3010000000000,1
3010000000000,3020000000000,1
3720000000000,3730000000000,1
3890000000000,3900000000000,1
4200000000000,4210000000000,1
4290000000000,4300000000000,1
4660000000000,4670000000000,1
4910000000000,4920000000000,1
4980000000000,4990000000000,1
6550000000000,6560000000000,1
6960000000000,6970000000000,1
7660000000000,7670000000000,1
8860000000000,8870000000000,1
9430000000000,9440000000000,1
9830000000000,9840000000000,1
11390000000000,11400000000000,1
13430000000000,13440000000000,1
